iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_notch,q1_notch_mv
2026-09-09T14:27:59.146,1788944279.1465,4357,0,0.0,0,0.0
2026-09-09T14:27:59.158,1788944279.1586,4358,0,0.0,0,0.0
2026-09-09T14:27:59.178,1788944279.1784,4359,0,0.0,0,0.0
2026-09-09T14:27:59.178,1788944279.1784,4360,0,0.0,0,0.0
2026-09-09T14:27:59.178,1788944279.1784,4361,0,0.0,0,0.0
2026-09-09T14:27:59.194,1788944279.1943,4362,0,0.0,0,0.0
2026-09-09T14:27:59.210,1788944279.2105,4363,0,0.0,0,0.0
2026-09-09T14:27:59.210,1788944279.2105,4364,0,0.0,0,0.0
2026-09-09T14:27:59.226,1788944279.2265,4365,0,0.0,0,0.0
2026-09-09T14:27:59.238,1788944279.2384,4366,0,0.0,0,0.0
2026-09-09T14:27:59.242,1788944279.2425,4367,0,0.0,0,0.0
2026-09-09T14:27:59.258,1788944279.2584,4368,0,0.0,0,0.0
2026-09-09T14:27:59.258,1788944279.2584,4369,0,0.0,0,0.0
2026-09-09T14:27:59.274,1788944279.2743,4370,0,0.0,0,0.0
2026-09-09T14:27:59.290,1788944279.2903,4371,0,0.0,0,0.0
2026-09-09T14:27:59.306,1788944279.3061,4372,0,0.0,0,0.0
2026-09-09T14:27:59.306,1788944279.3061,4373,0,0.0,0,0.0
2026-09-09T14:27:59.306,1788944279.3061,4374,0,0.0,0,0.0
2026-09-09T14:27:59.322,1788944279.3221,4375,0,0.0,0,0.0
2026-09-09T14:27:59.339,1788944279.3394,4376,0,0.0,0,0.0
2026-09-09T14:27:59.339,1788944279.3394,4377,0,0.0,0,0.0
2026-09-09T14:27:59.353,1788944279.3539,4378,0,0.0,0,0.0
2026-09-09T14:27:59.369,1788944279.3698,4379,0,0.0,0,0.0
2026-09-09T14:27:59.369,1788944279.3698,4380,0,0.0,0,0.0
2026-09-09T14:27:59.385,1788944279.3858,4381,0,0.0,0,0.0
2026-09-09T14:27:59.401,1788944279.4020,4382,0,0.0,0,0.0
2026-09-09T14:27:59.401,1788944279.4020,4383,0,0.0,0,0.0
2026-09-09T14:27:59.417,1788944279.4180,4384,0,0.0,0,0.0
2026-09-09T14:27:59.434,1788944279.4340,4385,0,0.0,0,0.0
2026-09-09T14:27:59.439,1788944279.4394,4386,0,0.0,0,0.0
2026-09-09T14:27:59.449,1788944279.4500,4387,0,0.0,0,0.0
2026-09-09T14:27:59.449,1788944279.4500,4388,0,0.0,0,0.0
2026-09-09T14:27:59.466,1788944279.4660,4389,0,0.0,0,0.0
2026-09-09T14:27:59.482,1788944279.4821,4390,0,0.0,0,0.0
2026-09-09T14:27:59.482,1788944279.4821,4391,0,0.0,0,0.0
2026-09-09T14:27:59.498,1788944279.4981,4392,0,0.0,0,0.0
2026-09-09T14:27:59.513,1788944279.5140,4393,0,0.0,0,0.0
2026-09-09T14:27:59.513,1788944279.5140,4394,0,0.0,0,0.0
2026-09-09T14:27:59.530,1788944279.5301,4395,0,0.0,0,0.0
2026-09-09T14:27:59.539,1788944279.5395,4396,0,0.0,0,0.0
2026-09-09T14:27:59.547,1788944279.5475,4397,0,0.0,0,0.0
2026-09-09T14:27:59.563,1788944279.5637,4398,0,0.0,0,0.0
2026-09-09T14:27:59.563,1788944279.5637,4399,0,0.0,0,0.0
2026-09-09T14:27:59.577,1788944279.5779,4400,0,0.0,0,0.0
2026-09-09T14:27:59.593,1788944279.5939,4401,0,0.0,0,0.0
2026-09-09T14:27:59.593,1788944279.5939,4402,0,0.0,0,0.0
2026-09-09T14:27:59.609,1788944279.6097,4403,0,0.0,0,0.0
2026-09-09T14:27:59.609,1788944279.6097,4404,0,0.0,0,0.0
2026-09-09T14:27:59.625,1788944279.6254,4405,0,0.0,0,0.0
2026-09-09T14:27:59.641,1788944279.6414,4406,0,0.0,0,0.0
2026-09-09T14:27:59.657,1788944279.6570,4407,0,0.0,0,0.0
2026-09-09T14:27:59.661,1788944279.6616,4408,0,0.0,0,0.0
2026-09-09T14:27:59.664,1788944279.6648,4409,0,0.0,0,0.0
2026-09-09T14:27:59.672,1788944279.6729,4410,0,0.0,0,0.0
2026-09-09T14:27:59.688,1788944279.6887,4411,0,0.0,0,0.0
2026-09-09T14:27:59.704,1788944279.7048,4412,0,0.0,0,0.0
2026-09-09T14:27:59.704,1788944279.7048,4413,0,0.0,0,0.0
2026-09-09T14:27:59.722,1788944279.7229,4414,0,0.0,0,0.0
2026-09-09T14:27:59.722,1788944279.7229,4415,0,0.0,0,0.0
2026-09-09T14:27:59.739,1788944279.7395,4416,0,0.0,0,0.0
2026-09-09T14:27:59.739,1788944279.7395,4417,0,0.0,0,0.0
2026-09-09T14:27:59.753,1788944279.7530,4418,0,0.0,0,0.0
2026-09-09T14:27:59.769,1788944279.7690,4419,0,0.0,0,0.0
2026-09-09T14:27:59.769,1788944279.7690,4420,0,0.0,0,0.0
2026-09-09T14:27:59.787,1788944279.7879,4421,0,0.0,0,0.0
2026-09-09T14:27:59.787,1788944279.7879,4422,0,0.0,0,0.0
2026-09-09T14:27:59.800,1788944279.8007,4423,0,0.0,0,0.0
2026-09-09T14:27:59.816,1788944279.8167,4424,0,0.0,0,0.0
2026-09-09T14:27:59.832,1788944279.8324,4425,0,0.0,0,0.0
2026-09-09T14:27:59.839,1788944279.8398,4426,0,0.0,0,0.0
2026-09-09T14:27:59.848,1788944279.8484,4427,0,0.0,0,0.0
2026-09-09T14:27:59.848,1788944279.8484,4428,0,0.0,0,0.0
2026-09-09T14:27:59.864,1788944279.8641,4429,0,0.0,0,0.0
2026-09-09T14:27:59.880,1788944279.8801,4430,0,0.0,0,0.0
2026-09-09T14:27:59.880,1788944279.8801,4431,0,0.0,0,0.0
2026-09-09T14:27:59.896,1788944279.8963,4432,0,0.0,0,0.0
2026-09-09T14:27:59.912,1788944279.9122,4433,0,0.0,0,0.0
2026-09-09T14:27:59.912,1788944279.9122,4434,0,0.0,0,0.0
2026-09-09T14:27:59.927,1788944279.9279,4435,0,0.0,0,0.0
2026-09-09T14:27:59.943,1788944279.9436,4436,0,0.0,0,0.0
2026-09-09T14:27:59.943,1788944279.9436,4437,0,0.0,0,0.0
2026-09-09T14:27:59.959,1788944279.9594,4438,0,0.0,0,0.0
2026-09-09T14:27:59.959,1788944279.9594,4439,0,0.0,0,0.0
2026-09-09T14:27:59.975,1788944279.9753,4440,0,0.0,0,0.0
2026-09-09T14:27:59.975,1788944279.9753,4441,0,0.0,0,0.0
2026-09-09T14:27:59.991,1788944279.9913,4442,0,0.0,0,0.0
2026-09-09T14:28:00.013,1788944280.0133,4443,0,0.0,0,0.0
2026-09-09T14:28:00.017,1788944280.0176,4444,0,0.0,0,0.0
2026-09-09T14:28:00.023,1788944280.0231,4445,0,0.0,0,0.0
2026-09-09T14:28:00.040,1788944280.0402,4446,0,0.0,0,0.0
2026-09-09T14:28:00.040,1788944280.0402,4447,0,0.0,0,0.0
2026-09-09T14:28:00.055,1788944280.0554,4448,0,0.0,0,0.0
2026-09-09T14:28:00.078,1788944280.0781,4449,0,0.0,0,0.0
2026-09-09T14:28:00.087,1788944280.0872,4450,0,0.0,0,0.0
